Economy,Year,Economy Code,Gini index
Norway,2019,NOR,27.7
Nepal,2010,NPL,32.8
Nauru,2012,NRU,32.4
New Zealand,2022,NZL,
Oman,2022,OMN,
Pakistan,2018,PAK,29.6
Panama,2021,PAN,50.9
Peru,2021,PER,40.2
Philippines,2021,PHL,40.7
Palau,2022,PLW,
Papua New Guinea,2022,PNG,
Poland,2019,POL,28.8
Puerto Rico,2022,PRI,
"Korea, Dem. People's Rep.",2022,PRK,
Portugal,2020,PRT,34.7
Paraguay,2021,PRY,42.9
West Bank and Gaza,2016,PSE,33.7
French Polynesia,2022,PYF,
Qatar,2022,QAT,
Romania,2020,ROU,34.6
Russian Federation,2020,RUS,36
Rwanda,2016,RWA,43.7
Saudi Arabia,2022,SAU,
Sudan,2014,SDN,34.2
Senegal,2018,SEN,38.1
Singapore,2022,SGP,
Solomon Islands,2012,SLB,37.1
Sierra Leone,2018,SLE,35.7
El Salvador,2021,SLV,39
San Marino,2022,SMR,
Somalia,2022,SOM,
Serbia,2020,SRB,35
South Sudan,2016,SSD,44.1
Sao Tome and Principe,2017,STP,40.7
Suriname,2022,SUR,
Slovak Republic,2019,SVK,23.2
Slovenia,2020,SVN,24
Sweden,2020,SWE,28.9
Eswatini,2016,SWZ,54.6
Sint Maarten (Dutch part),2022,SXM,
Seychelles,2018,SYC,32.1
Syrian Arab Republic,2022,SYR,
Turks and Caicos Islands,2022,TCA,
Chad,2018,TCD,37.5
Togo,2018,TGO,42.4
Thailand,2021,THA,35.1
Tajikistan,2015,TJK,34
Turkmenistan,2022,TKM,
Timor-Leste,2014,TLS,28.7
Tonga,2015,TON,33.5
Trinidad and Tobago,2022,TTO,
Tunisia,2015,TUN,32.8
Turkiye,2019,TUR,41.9
Tuvalu,2010,TUV,39.1
Tanzania,2018,TZA,40.5
Uganda,2019,UGA,42.7
Ukraine,2020,UKR,25.6
Uruguay,2021,URY,40.8
United States,2020,USA,39.7
Uzbekistan,2022,UZB,
St. Vincent and the Grenadines,2022,VCT,
"Venezuela, RB",2022,VEN,
British Virgin Islands,2022,VGB,
Virgin Islands (U.S.),2022,VIR,
Vietnam,2020,VNM,36.8
Vanuatu,2019,VUT,32.3
Samoa,2013,WSM,38.7
Kosovo,2017,XKX,29
"Yemen, Rep.",2014,YEM,36.7
South Africa,2014,ZAF,63
Zambia,2015,ZMB,57.1
Zimbabwe,2019,ZWE,50.3
